model_api,n_failures,tb_leaf,share_pct
Claude Sonnet 4.6,198,Disobey Specification,84.85
Claude Sonnet 4.6,198,Step Repetition,0.00
Claude Sonnet 4.6,198,Unaware of Termination,0.00
Claude Sonnet 4.6,198,Reasoning-Action Mismatch,10.61
Claude Sonnet 4.6,198,Context Loss,0.00
Claude Sonnet 4.6,198,Task Derailment,0.00
Claude Sonnet 4.6,198,Premature Termination,0.00
Claude Sonnet 4.6,198,Weak Verification,4.55
Claude Sonnet 4.6,198,No or Incorrect Verification,0.00
Claude Sonnet 4.6,198,(not in TB),0.00
GPT-5.3 Codex,293,Disobey Specification,65.87
GPT-5.3 Codex,293,Step Repetition,0.00
GPT-5.3 Codex,293,Unaware of Termination,0.00
GPT-5.3 Codex,293,Reasoning-Action Mismatch,16.38
GPT-5.3 Codex,293,Context Loss,0.00
GPT-5.3 Codex,293,Task Derailment,0.00
GPT-5.3 Codex,293,Premature Termination,14.33
GPT-5.3 Codex,293,Weak Verification,3.41
GPT-5.3 Codex,293,No or Incorrect Verification,0.00
GPT-5.3 Codex,293,(not in TB),0.00
MiniMax M2.7,281,Disobey Specification,82.21
MiniMax M2.7,281,Step Repetition,0.00
MiniMax M2.7,281,Unaware of Termination,0.00
MiniMax M2.7,281,Reasoning-Action Mismatch,13.88
MiniMax M2.7,281,Context Loss,0.00
MiniMax M2.7,281,Task Derailment,0.00
MiniMax M2.7,281,Premature Termination,0.71
MiniMax M2.7,281,Weak Verification,3.20
MiniMax M2.7,281,No or Incorrect Verification,0.00
MiniMax M2.7,281,(not in TB),0.00
