variant,n_failures,task_attempts,failure_rate_pct,tb_leaf,share_of_failures_pct
bash-only,165,348,47.41,Disobey Specification,63.64
bash-only,165,348,47.41,Step Repetition,0.00
bash-only,165,348,47.41,Unaware of Termination,0.00
bash-only,165,348,47.41,Reasoning-Action Mismatch,14.55
bash-only,165,348,47.41,Context Loss,0.00
bash-only,165,348,47.41,Task Derailment,0.00
bash-only,165,348,47.41,Premature Termination,18.18
bash-only,165,348,47.41,Weak Verification,3.64
bash-only,165,348,47.41,No or Incorrect Verification,0.00
bash-only,165,348,47.41,(not in TB),0.00
+tools,128,348,36.78,Disobey Specification,68.75
+tools,128,348,36.78,Step Repetition,0.00
+tools,128,348,36.78,Unaware of Termination,0.00
+tools,128,348,36.78,Reasoning-Action Mismatch,18.75
+tools,128,348,36.78,Context Loss,0.00
+tools,128,348,36.78,Task Derailment,0.00
+tools,128,348,36.78,Premature Termination,9.38
+tools,128,348,36.78,Weak Verification,3.12
+tools,128,348,36.78,No or Incorrect Verification,0.00
+tools,128,348,36.78,(not in TB),0.00
