paradigm,n_failures,tb_leaf,share_pct
CLI,1508,Disobey Specification,74.40
CLI,1508,Step Repetition,0.00
CLI,1508,Unaware of Termination,0.00
CLI,1508,Reasoning-Action Mismatch,14.99
CLI,1508,Context Loss,0.00
CLI,1508,Task Derailment,0.00
CLI,1508,Premature Termination,5.31
CLI,1508,Weak Verification,5.31
CLI,1508,No or Incorrect Verification,0.00
CLI,1508,(not in TB),0.00
GUI,194,Disobey Specification,33.51
GUI,194,Step Repetition,37.11
GUI,194,Unaware of Termination,0.00
GUI,194,Reasoning-Action Mismatch,0.00
GUI,194,Context Loss,0.00
GUI,194,Task Derailment,0.00
GUI,194,Premature Termination,29.38
GUI,194,Weak Verification,0.00
GUI,194,No or Incorrect Verification,0.00
GUI,194,(not in TB),0.00
