paradigm,n_failures,tb_leaf,group,prevalence_pct
CLI,1508,Disobey Specification,Execution,86.60
CLI,1508,Step Repetition,Execution,0.00
CLI,1508,Unaware of Termination,Execution,0.00
CLI,1508,Reasoning-Action Mismatch,Coherence,29.18
CLI,1508,Context Loss,Coherence,0.00
CLI,1508,Task Derailment,Coherence,0.00
CLI,1508,Premature Termination,Verification,7.89
CLI,1508,No or Incorrect Verification,Verification,0.00
CLI,1508,Weak Verification,Verification,52.98
GUI,194,Disobey Specification,Execution,72.68
GUI,194,Step Repetition,Execution,53.09
GUI,194,Unaware of Termination,Execution,0.00
GUI,194,Reasoning-Action Mismatch,Coherence,0.00
GUI,194,Context Loss,Coherence,0.00
GUI,194,Task Derailment,Coherence,0.00
GUI,194,Premature Termination,Verification,56.70
GUI,194,No or Incorrect Verification,Verification,0.00
GUI,194,Weak Verification,Verification,0.00
