model,harness,n_failures,tb_leaf,group,prevalence_pct
claude-sonnet-4.6,ClaudeCodeCLI,152,Disobey Specification,Execution,84.87
claude-sonnet-4.6,ClaudeCodeCLI,152,Step Repetition,Execution,0.00
claude-sonnet-4.6,ClaudeCodeCLI,152,Unaware of Termination,Execution,0.00
claude-sonnet-4.6,ClaudeCodeCLI,152,Reasoning-Action Mismatch,Coherence,40.79
claude-sonnet-4.6,ClaudeCodeCLI,152,Context Loss,Coherence,0.00
claude-sonnet-4.6,ClaudeCodeCLI,152,Task Derailment,Coherence,0.00
claude-sonnet-4.6,ClaudeCodeCLI,152,Premature Termination,Verification,4.61
claude-sonnet-4.6,ClaudeCodeCLI,152,No or Incorrect Verification,Verification,0.00
claude-sonnet-4.6,ClaudeCodeCLI,152,Weak Verification,Verification,48.03
claude-sonnet-4.6,MiniSweAgent,129,Disobey Specification,Execution,87.60
claude-sonnet-4.6,MiniSweAgent,129,Step Repetition,Execution,0.00
claude-sonnet-4.6,MiniSweAgent,129,Unaware of Termination,Execution,0.00
claude-sonnet-4.6,MiniSweAgent,129,Reasoning-Action Mismatch,Coherence,35.66
claude-sonnet-4.6,MiniSweAgent,129,Context Loss,Coherence,0.00
claude-sonnet-4.6,MiniSweAgent,129,Task Derailment,Coherence,0.00
claude-sonnet-4.6,MiniSweAgent,129,Premature Termination,Verification,0.78
claude-sonnet-4.6,MiniSweAgent,129,No or Incorrect Verification,Verification,0.00
claude-sonnet-4.6,MiniSweAgent,129,Weak Verification,Verification,54.26
claude-sonnet-4.6,Terminus2,205,Disobey Specification,Execution,89.27
claude-sonnet-4.6,Terminus2,205,Step Repetition,Execution,0.00
claude-sonnet-4.6,Terminus2,205,Unaware of Termination,Execution,0.00
claude-sonnet-4.6,Terminus2,205,Reasoning-Action Mismatch,Coherence,28.78
claude-sonnet-4.6,Terminus2,205,Context Loss,Coherence,0.00
claude-sonnet-4.6,Terminus2,205,Task Derailment,Coherence,0.00
claude-sonnet-4.6,Terminus2,205,Premature Termination,Verification,1.95
claude-sonnet-4.6,Terminus2,205,No or Incorrect Verification,Verification,0.00
claude-sonnet-4.6,Terminus2,205,Weak Verification,Verification,34.63
gpt-5.3-codex,ClaudeCodeCLI,0,Disobey Specification,Execution,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Step Repetition,Execution,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Unaware of Termination,Execution,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Reasoning-Action Mismatch,Coherence,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Context Loss,Coherence,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Task Derailment,Coherence,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Premature Termination,Verification,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,No or Incorrect Verification,Verification,0.00
gpt-5.3-codex,ClaudeCodeCLI,0,Weak Verification,Verification,0.00
gpt-5.3-codex,MiniSweAgent,229,Disobey Specification,Execution,79.04
gpt-5.3-codex,MiniSweAgent,229,Step Repetition,Execution,0.00
gpt-5.3-codex,MiniSweAgent,229,Unaware of Termination,Execution,0.00
gpt-5.3-codex,MiniSweAgent,229,Reasoning-Action Mismatch,Coherence,23.14
gpt-5.3-codex,MiniSweAgent,229,Context Loss,Coherence,0.00
gpt-5.3-codex,MiniSweAgent,229,Task Derailment,Coherence,0.00
gpt-5.3-codex,MiniSweAgent,229,Premature Termination,Verification,24.02
gpt-5.3-codex,MiniSweAgent,229,No or Incorrect Verification,Verification,0.00
gpt-5.3-codex,MiniSweAgent,229,Weak Verification,Verification,56.33
gpt-5.3-codex,Terminus2,228,Disobey Specification,Execution,83.77
gpt-5.3-codex,Terminus2,228,Step Repetition,Execution,0.00
gpt-5.3-codex,Terminus2,228,Unaware of Termination,Execution,0.00
gpt-5.3-codex,Terminus2,228,Reasoning-Action Mismatch,Coherence,25.44
gpt-5.3-codex,Terminus2,228,Context Loss,Coherence,0.00
gpt-5.3-codex,Terminus2,228,Task Derailment,Coherence,0.00
gpt-5.3-codex,Terminus2,228,Premature Termination,Verification,17.11
gpt-5.3-codex,Terminus2,228,No or Incorrect Verification,Verification,0.00
gpt-5.3-codex,Terminus2,228,Weak Verification,Verification,50.88
minimax-m2.7,ClaudeCodeCLI,0,Disobey Specification,Execution,0.00
minimax-m2.7,ClaudeCodeCLI,0,Step Repetition,Execution,0.00
minimax-m2.7,ClaudeCodeCLI,0,Unaware of Termination,Execution,0.00
minimax-m2.7,ClaudeCodeCLI,0,Reasoning-Action Mismatch,Coherence,0.00
minimax-m2.7,ClaudeCodeCLI,0,Context Loss,Coherence,0.00
minimax-m2.7,ClaudeCodeCLI,0,Task Derailment,Coherence,0.00
minimax-m2.7,ClaudeCodeCLI,0,Premature Termination,Verification,0.00
minimax-m2.7,ClaudeCodeCLI,0,No or Incorrect Verification,Verification,0.00
minimax-m2.7,ClaudeCodeCLI,0,Weak Verification,Verification,0.00
minimax-m2.7,MiniSweAgent,216,Disobey Specification,Execution,87.96
minimax-m2.7,MiniSweAgent,216,Step Repetition,Execution,0.00
minimax-m2.7,MiniSweAgent,216,Unaware of Termination,Execution,0.00
minimax-m2.7,MiniSweAgent,216,Reasoning-Action Mismatch,Coherence,25.93
minimax-m2.7,MiniSweAgent,216,Context Loss,Coherence,0.00
minimax-m2.7,MiniSweAgent,216,Task Derailment,Coherence,0.00
minimax-m2.7,MiniSweAgent,216,Premature Termination,Verification,1.85
minimax-m2.7,MiniSweAgent,216,No or Incorrect Verification,Verification,0.00
minimax-m2.7,MiniSweAgent,216,Weak Verification,Verification,62.96
minimax-m2.7,Terminus2,232,Disobey Specification,Execution,88.36
minimax-m2.7,Terminus2,232,Step Repetition,Execution,0.00
minimax-m2.7,Terminus2,232,Unaware of Termination,Execution,0.00
minimax-m2.7,Terminus2,232,Reasoning-Action Mismatch,Coherence,29.31
minimax-m2.7,Terminus2,232,Context Loss,Coherence,0.00
minimax-m2.7,Terminus2,232,Task Derailment,Coherence,0.00
minimax-m2.7,Terminus2,232,Premature Termination,Verification,2.59
