panel,variant,n_failures,name,prevalence_pct
a_leaf,bash_only,273,Disobey Specification,82.42
a_leaf,bash_only,273,Step Repetition,0.00
a_leaf,bash_only,273,Unaware of Termination,0.00
a_leaf,bash_only,273,Reasoning-Action Mismatch,19.41
a_leaf,bash_only,273,Context Loss,0.00
a_leaf,bash_only,273,Task Derailment,0.00
a_leaf,bash_only,273,Premature Termination,26.01
a_leaf,bash_only,273,No or Incorrect Verification,0.00
a_leaf,bash_only,273,Weak Verification,50.18
a_leaf,bash_tool,184,Disobey Specification,79.89
a_leaf,bash_tool,184,Step Repetition,0.00
a_leaf,bash_tool,184,Unaware of Termination,0.00
a_leaf,bash_tool,184,Reasoning-Action Mismatch,31.52
a_leaf,bash_tool,184,Context Loss,0.00
a_leaf,bash_tool,184,Task Derailment,0.00
a_leaf,bash_tool,184,Premature Termination,12.50
a_leaf,bash_tool,184,No or Incorrect Verification,0.00
a_leaf,bash_tool,184,Weak Verification,58.70
b_ds_cluster,bash_only,273,wrote_to_wrong_database_surface,38.83
b_ds_cluster,bash_only,273,fabricated_artifact_instead_of_invoking_app_pipeline,14.29
b_ds_cluster,bash_only,273,permission_or_role_blocked_clipboard_or_sms,13.55
b_ds_cluster,bash_only,273,wrong_output_value_at_correct_surface,12.82
b_ds_cluster,bash_only,273,agent_concluded_no_cli_pathway,9.52
b_ds_cluster,bash_only,273,truncated_input_treated_as_complete,7.69
b_ds_cluster,bash_only,273,wrong_notebook_root_for_markor,3.30
b_ds_cluster,bash_only,273,wrapper_input_format_violation,3.30
b_ds_cluster,bash_only,273,pm_clear_or_destructive_blanket_action,2.93
b_ds_cluster,bash_only,273,apk_static_analysis_loop_without_db_write,2.20
b_ds_cluster,bash_tool,184,wrote_to_wrong_database_surface,39.67
b_ds_cluster,bash_tool,184,permission_or_role_blocked_clipboard_or_sms,18.48
b_ds_cluster,bash_tool,184,wrong_output_value_at_correct_surface,15.22
b_ds_cluster,bash_tool,184,fabricated_artifact_instead_of_invoking_app_pipeline,11.41
b_ds_cluster,bash_tool,184,truncated_input_treated_as_complete,4.35
b_ds_cluster,bash_tool,184,apk_static_analysis_loop_without_db_write,4.35
b_ds_cluster,bash_tool,184,wrong_notebook_root_for_markor,3.80
b_ds_cluster,bash_tool,184,agent_concluded_no_cli_pathway,3.26
b_ds_cluster,bash_tool,184,wrapper_input_format_violation,2.17
b_ds_cluster,bash_tool,184,pm_clear_or_destructive_blanket_action,0.54
