scope,variant,n_failures,tb_leaf,group,prevalence_pct
all models pooled,bash_only,802,Disobey Specification,Execution,86.53
all models pooled,bash_only,802,Step Repetition,Execution,0.00
all models pooled,bash_only,802,Unaware of Termination,Execution,0.00
all models pooled,bash_only,802,Reasoning-Action Mismatch,Coherence,28.05
all models pooled,bash_only,802,Context Loss,Coherence,0.00
all models pooled,bash_only,802,Task Derailment,Coherence,0.00
all models pooled,bash_only,802,Premature Termination,Verification,9.85
all models pooled,bash_only,802,No or Incorrect Verification,Verification,0.00
all models pooled,bash_only,802,Weak Verification,Verification,50.00
all models pooled,bash_tool,706,Disobey Specification,Execution,86.69
all models pooled,bash_tool,706,Step Repetition,Execution,0.00
all models pooled,bash_tool,706,Unaware of Termination,Execution,0.00
all models pooled,bash_tool,706,Reasoning-Action Mismatch,Coherence,30.45
all models pooled,bash_tool,706,Context Loss,Coherence,0.00
all models pooled,bash_tool,706,Task Derailment,Coherence,0.00
all models pooled,bash_tool,706,Premature Termination,Verification,5.67
all models pooled,bash_tool,706,No or Incorrect Verification,Verification,0.00
all models pooled,bash_tool,706,Weak Verification,Verification,56.37
GPT-5.3 Codex,bash_only,273,Disobey Specification,Execution,82.42
GPT-5.3 Codex,bash_only,273,Step Repetition,Execution,0.00
GPT-5.3 Codex,bash_only,273,Unaware of Termination,Execution,0.00
GPT-5.3 Codex,bash_only,273,Reasoning-Action Mismatch,Coherence,19.41
GPT-5.3 Codex,bash_only,273,Context Loss,Coherence,0.00
GPT-5.3 Codex,bash_only,273,Task Derailment,Coherence,0.00
GPT-5.3 Codex,bash_only,273,Premature Termination,Verification,26.01
GPT-5.3 Codex,bash_only,273,No or Incorrect Verification,Verification,0.00
GPT-5.3 Codex,bash_only,273,Weak Verification,Verification,50.18
GPT-5.3 Codex,bash_tool,184,Disobey Specification,Execution,79.89
GPT-5.3 Codex,bash_tool,184,Step Repetition,Execution,0.00
GPT-5.3 Codex,bash_tool,184,Unaware of Termination,Execution,0.00
GPT-5.3 Codex,bash_tool,184,Reasoning-Action Mismatch,Coherence,31.52
GPT-5.3 Codex,bash_tool,184,Context Loss,Coherence,0.00
GPT-5.3 Codex,bash_tool,184,Task Derailment,Coherence,0.00
GPT-5.3 Codex,bash_tool,184,Premature Termination,Verification,12.50
GPT-5.3 Codex,bash_tool,184,No or Incorrect Verification,Verification,0.00
GPT-5.3 Codex,bash_tool,184,Weak Verification,Verification,58.70
