variant,n_failures,ds_cluster,n_with_cluster,prevalence_pct
bash_only,273,wrote_to_wrong_database_surface,106,38.83
bash_only,273,permission_or_role_blocked_clipboard_or_sms,37,13.55
bash_only,273,wrong_output_value_at_correct_surface,35,12.82
bash_only,273,fabricated_artifact_instead_of_invoking_app_pipeline,39,14.29
bash_only,273,agent_concluded_no_cli_pathway,26,9.52
bash_only,273,truncated_input_treated_as_complete,21,7.69
bash_only,273,wrong_notebook_root_for_markor,9,3.30
bash_only,273,apk_static_analysis_loop_without_db_write,6,2.20
bash_only,273,wrapper_input_format_violation,9,3.30
bash_only,273,pm_clear_or_destructive_blanket_action,8,2.93
bash_tool,184,wrote_to_wrong_database_surface,73,39.67
bash_tool,184,permission_or_role_blocked_clipboard_or_sms,34,18.48
bash_tool,184,wrong_output_value_at_correct_surface,28,15.22
bash_tool,184,fabricated_artifact_instead_of_invoking_app_pipeline,21,11.41
bash_tool,184,agent_concluded_no_cli_pathway,6,3.26
bash_tool,184,truncated_input_treated_as_complete,8,4.35
bash_tool,184,wrong_notebook_root_for_markor,7,3.80
bash_tool,184,apk_static_analysis_loop_without_db_write,8,4.35
bash_tool,184,wrapper_input_format_violation,4,2.17
bash_tool,184,pm_clear_or_destructive_blanket_action,1,0.54
