variant,n_failures,tb_leaf,tb_group,prevalence_pct
bash_only,273,Disobey Specification,Execution,82.42
bash_only,273,Step Repetition,Execution,0.00
bash_only,273,Unaware of Termination,Execution,0.00
bash_only,273,Reasoning-Action Mismatch,Coherence,19.41
bash_only,273,Context Loss,Coherence,0.00
bash_only,273,Task Derailment,Coherence,0.00
bash_only,273,Premature Termination,Verification,26.01
bash_only,273,No or Incorrect Verification,Verification,0.00
bash_only,273,Weak Verification,Verification,50.18
bash_tool,184,Disobey Specification,Execution,79.89
bash_tool,184,Step Repetition,Execution,0.00
bash_tool,184,Unaware of Termination,Execution,0.00
bash_tool,184,Reasoning-Action Mismatch,Coherence,31.52
bash_tool,184,Context Loss,Coherence,0.00
bash_tool,184,Task Derailment,Coherence,0.00
bash_tool,184,Premature Termination,Verification,12.50
bash_tool,184,No or Incorrect Verification,Verification,0.00
bash_tool,184,Weak Verification,Verification,58.70
