model,harness,n_failures,tb_leaf,tb_group,prevalence_pct
claude-sonnet-4.6,ClaudeCodeCLI,152,Disobey Specification,Execution,84.87
claude-sonnet-4.6,ClaudeCodeCLI,152,Reasoning-Action Mismatch,Coherence,40.79
claude-sonnet-4.6,ClaudeCodeCLI,152,Premature Termination,Verification,4.61
claude-sonnet-4.6,ClaudeCodeCLI,152,Weak Verification,Verification,48.03
claude-sonnet-4.6,MiniSweAgent,129,Disobey Specification,Execution,87.60
claude-sonnet-4.6,MiniSweAgent,129,Reasoning-Action Mismatch,Coherence,35.66
claude-sonnet-4.6,MiniSweAgent,129,Premature Termination,Verification,0.78
claude-sonnet-4.6,MiniSweAgent,129,Weak Verification,Verification,54.26
claude-sonnet-4.6,Terminus2,205,Disobey Specification,Execution,89.27
claude-sonnet-4.6,Terminus2,205,Reasoning-Action Mismatch,Coherence,28.78
claude-sonnet-4.6,Terminus2,205,Premature Termination,Verification,1.95
claude-sonnet-4.6,Terminus2,205,Weak Verification,Verification,34.63
gpt-5.3-codex,MiniSweAgent,229,Disobey Specification,Execution,79.04
gpt-5.3-codex,MiniSweAgent,229,Reasoning-Action Mismatch,Coherence,23.14
gpt-5.3-codex,MiniSweAgent,229,Premature Termination,Verification,24.02
gpt-5.3-codex,MiniSweAgent,229,Weak Verification,Verification,56.33
gpt-5.3-codex,Terminus2,228,Disobey Specification,Execution,83.77
gpt-5.3-codex,Terminus2,228,Reasoning-Action Mismatch,Coherence,25.44
gpt-5.3-codex,Terminus2,228,Premature Termination,Verification,17.11
gpt-5.3-codex,Terminus2,228,Weak Verification,Verification,50.88
minimax-m2.7,MiniSweAgent,216,Disobey Specification,Execution,87.96
minimax-m2.7,MiniSweAgent,216,Reasoning-Action Mismatch,Coherence,25.93
minimax-m2.7,MiniSweAgent,216,Premature Termination,Verification,1.85
minimax-m2.7,MiniSweAgent,216,Weak Verification,Verification,62.96
minimax-m2.7,Terminus2,232,Disobey Specification,Execution,88.36
minimax-m2.7,Terminus2,232,Reasoning-Action Mismatch,Coherence,29.31
minimax-m2.7,Terminus2,232,Premature Termination,Verification,2.59
minimax-m2.7,Terminus2,232,Weak Verification,Verification,65.95
