ds_cluster,n_bash_only,bash_only_pct,n_bash_tool,bash_tool_pct,delta_pp
agent_concluded_no_cli_pathway,273,9.52,184,3.26,-6.26
truncated_input_treated_as_complete,273,7.69,184,4.35,-3.34
fabricated_artifact_instead_of_invoking_app_pipeline,273,14.29,184,11.41,-2.87
pm_clear_or_destructive_blanket_action,273,2.93,184,0.54,-2.39
wrapper_input_format_violation,273,3.30,184,2.17,-1.12
wrong_notebook_root_for_markor,273,3.30,184,3.80,+0.51
wrote_to_wrong_database_surface,273,38.83,184,39.67,+0.85
apk_static_analysis_loop_without_db_write,273,2.20,184,4.35,+2.15
wrong_output_value_at_correct_surface,273,12.82,184,15.22,+2.40
permission_or_role_blocked_clipboard_or_sms,273,13.55,184,18.48,+4.93
