condition,category,screen,rep,wall_clock_s,success
screenshot_png,Screenshot,home,0,0.818501,True
screenshot_png,Screenshot,home,1,0.823706,True
screenshot_png,Screenshot,home,2,0.8277,True
screenshot_png,Screenshot,home,3,0.871838,True
screenshot_png,Screenshot,home,4,0.86399,True
screenshot_png,Screenshot,home,5,0.817364,True
screenshot_png,Screenshot,home,6,0.816311,True
screenshot_png,Screenshot,home,7,0.825897,True
screenshot_png,Screenshot,home,8,0.827977,True
screenshot_png,Screenshot,home,9,0.820334,True
screenshot_png,Screenshot,home,10,0.834416,True
screenshot_png,Screenshot,home,11,0.822067,True
screenshot_png,Screenshot,home,12,0.825272,True
screenshot_png,Screenshot,home,13,0.825952,True
screenshot_png,Screenshot,home,14,0.838458,True
screenshot_png,Screenshot,home,15,0.828655,True
screenshot_png,Screenshot,home,16,0.828901,True
screenshot_png,Screenshot,home,17,0.827317,True
screenshot_png,Screenshot,home,18,0.818632,True
screenshot_png,Screenshot,home,19,0.818904,True
screenshot_png,Screenshot,home,20,0.819387,True
screenshot_png,Screenshot,home,21,0.824375,True
screenshot_png,Screenshot,home,22,0.817233,True
screenshot_png,Screenshot,home,23,0.819073,True
screenshot_png,Screenshot,home,24,0.861697,True
screenshot_png,Screenshot,home,25,0.819998,True
screenshot_png,Screenshot,home,26,0.859819,True
screenshot_png,Screenshot,home,27,0.822677,True
screenshot_png,Screenshot,home,28,0.813831,True
screenshot_png,Screenshot,home,29,0.863345,True
screenshot_png,Screenshot,home,30,0.822188,True
screenshot_png,Screenshot,home,31,0.865642,True
screenshot_png,Screenshot,home,32,0.830846,True
screenshot_png,Screenshot,home,33,0.821627,True
screenshot_png,Screenshot,home,34,0.822276,True
screenshot_png,Screenshot,home,35,0.81456,True
screenshot_png,Screenshot,home,36,0.82007,True
screenshot_png,Screenshot,home,37,0.86606,True
screenshot_png,Screenshot,home,38,0.817413,True
screenshot_png,Screenshot,home,39,0.822553,True
screenshot_png,Screenshot,home,40,0.823684,True
screenshot_png,Screenshot,home,41,0.819804,True
screenshot_png,Screenshot,home,42,0.864096,True
screenshot_png,Screenshot,home,43,0.821841,True
screenshot_png,Screenshot,home,44,0.823216,True
screenshot_png,Screenshot,home,45,0.818179,True
screenshot_png,Screenshot,home,46,0.824321,True
screenshot_png,Screenshot,home,47,0.816933,True
screenshot_png,Screenshot,home,48,0.822669,True
screenshot_png,Screenshot,home,49,0.818211,True
screenshot_png,Screenshot,home,50,0.821321,True
screenshot_png,Screenshot,home,51,0.817364,True
screenshot_png,Screenshot,home,52,0.830458,True
screenshot_png,Screenshot,home,53,0.823546,True
screenshot_png,Screenshot,home,54,0.860916,True
screenshot_png,Screenshot,home,55,0.824784,True
screenshot_png,Screenshot,home,56,0.816999,True
screenshot_png,Screenshot,home,57,0.814642,True
screenshot_png,Screenshot,home,58,0.862354,True
screenshot_png,Screenshot,home,59,0.813611,True
screenshot_png,Screenshot,home,60,0.810572,True
screenshot_png,Screenshot,home,61,0.814569,True
screenshot_png,Screenshot,home,62,0.81969,True
screenshot_png,Screenshot,home,63,0.818694,True
screenshot_png,Screenshot,home,64,0.816607,True
screenshot_png,Screenshot,home,65,0.824991,True
screenshot_png,Screenshot,home,66,0.817651,True
screenshot_png,Screenshot,home,67,0.817689,True
screenshot_png,Screenshot,home,68,0.819692,True
screenshot_png,Screenshot,home,69,0.862122,True
screenshot_png,Screenshot,home,70,0.826022,True
screenshot_png,Screenshot,home,71,0.823525,True
screenshot_png,Screenshot,home,72,0.816611,True
screenshot_png,Screenshot,home,73,0.812385,True
screenshot_png,Screenshot,home,74,0.818919,True
screenshot_png,Screenshot,home,75,0.82151,True
screenshot_png,Screenshot,home,76,0.822573,True
screenshot_png,Screenshot,home,77,0.853783,True
screenshot_png,Screenshot,home,78,0.820284,True
screenshot_png,Screenshot,home,79,0.816738,True
screenshot_png,Screenshot,home,80,0.816551,True
screenshot_png,Screenshot,home,81,0.819309,True
screenshot_png,Screenshot,home,82,0.820334,True
screenshot_png,Screenshot,home,83,0.819784,True
screenshot_png,Screenshot,home,84,0.821856,True
screenshot_png,Screenshot,home,85,0.814381,True
screenshot_png,Screenshot,home,86,0.814663,True
screenshot_png,Screenshot,home,87,0.863301,True
screenshot_png,Screenshot,home,88,0.859746,True
screenshot_png,Screenshot,home,89,0.82187,True
screenshot_png,Screenshot,home,90,0.866066,True
screenshot_png,Screenshot,home,91,0.855949,True
screenshot_png,Screenshot,home,92,0.819598,True
screenshot_png,Screenshot,home,93,0.818419,True
screenshot_png,Screenshot,home,94,0.817837,True
screenshot_png,Screenshot,home,95,0.818187,True
screenshot_png,Screenshot,home,96,0.861394,True
screenshot_png,Screenshot,home,97,0.818754,True
screenshot_png,Screenshot,home,98,0.815998,True
screenshot_png,Screenshot,home,99,0.82452,True
screenshot_png,Screenshot,settings_main,0,0.221692,True
screenshot_png,Screenshot,settings_main,1,0.218949,True
screenshot_png,Screenshot,settings_main,2,0.256733,True
screenshot_png,Screenshot,settings_main,3,0.259929,True
screenshot_png,Screenshot,settings_main,4,0.214317,True
screenshot_png,Screenshot,settings_main,5,0.219609,True
screenshot_png,Screenshot,settings_main,6,0.215282,True
screenshot_png,Screenshot,settings_main,7,0.214079,True
screenshot_png,Screenshot,settings_main,8,0.256291,True
screenshot_png,Screenshot,settings_main,9,0.214831,True
screenshot_png,Screenshot,settings_main,10,0.214549,True
screenshot_png,Screenshot,settings_main,11,0.214328,True
screenshot_png,Screenshot,settings_main,12,0.214367,True
screenshot_png,Screenshot,settings_main,13,0.216857,True
screenshot_png,Screenshot,settings_main,14,0.213495,True
screenshot_png,Screenshot,settings_main,15,0.216883,True
screenshot_png,Screenshot,settings_main,16,0.213888,True
screenshot_png,Screenshot,settings_main,17,0.220265,True
screenshot_png,Screenshot,settings_main,18,0.214513,True
screenshot_png,Screenshot,settings_main,19,0.216379,True
screenshot_png,Screenshot,settings_main,20,0.256673,True
screenshot_png,Screenshot,settings_main,21,0.255838,True
screenshot_png,Screenshot,settings_main,22,0.214048,True
screenshot_png,Screenshot,settings_main,23,0.217184,True
screenshot_png,Screenshot,settings_main,24,0.212614,True
screenshot_png,Screenshot,settings_main,25,0.215655,True
screenshot_png,Screenshot,settings_main,26,0.256031,True
screenshot_png,Screenshot,settings_main,27,0.215116,True
screenshot_png,Screenshot,settings_main,28,0.21427,True
screenshot_png,Screenshot,settings_main,29,0.254293,True
screenshot_png,Screenshot,settings_main,30,0.213895,True
screenshot_png,Screenshot,settings_main,31,0.215242,True
screenshot_png,Screenshot,settings_main,32,0.214042,True
screenshot_png,Screenshot,settings_main,33,0.214998,True
screenshot_png,Screenshot,settings_main,34,0.214599,True
screenshot_png,Screenshot,settings_main,35,0.213148,True
screenshot_png,Screenshot,settings_main,36,0.218508,True
screenshot_png,Screenshot,settings_main,37,0.253898,True
screenshot_png,Screenshot,settings_main,38,0.212707,True
screenshot_png,Screenshot,settings_main,39,0.213241,True
screenshot_png,Screenshot,settings_main,40,0.214889,True
screenshot_png,Screenshot,settings_main,41,0.212659,True
screenshot_png,Screenshot,settings_main,42,0.21442,True
screenshot_png,Screenshot,settings_main,43,0.256642,True
screenshot_png,Screenshot,settings_main,44,0.213039,True
screenshot_png,Screenshot,settings_main,45,0.213552,True
screenshot_png,Screenshot,settings_main,46,0.215315,True
screenshot_png,Screenshot,settings_main,47,0.253843,True
screenshot_png,Screenshot,settings_main,48,0.215506,True
screenshot_png,Screenshot,settings_main,49,0.214934,True
screenshot_png,Screenshot,settings_main,50,0.215819,True
screenshot_png,Screenshot,settings_main,51,0.213023,True
screenshot_png,Screenshot,settings_main,52,0.260131,True
screenshot_png,Screenshot,settings_main,53,0.213483,True
screenshot_png,Screenshot,settings_main,54,0.278476,True
screenshot_png,Screenshot,settings_main,55,0.218901,True
screenshot_png,Screenshot,settings_main,56,0.212478,True
screenshot_png,Screenshot,settings_main,57,0.231256,True
screenshot_png,Screenshot,settings_main,58,0.213133,True
screenshot_png,Screenshot,settings_main,59,0.215465,True
screenshot_png,Screenshot,settings_main,60,0.21177,True
screenshot_png,Screenshot,settings_main,61,0.226954,True
screenshot_png,Screenshot,settings_main,62,0.21392,True
screenshot_png,Screenshot,settings_main,63,0.211549,True
screenshot_png,Screenshot,settings_main,64,0.214448,True
screenshot_png,Screenshot,settings_main,65,0.215768,True
screenshot_png,Screenshot,settings_main,66,0.211204,True
screenshot_png,Screenshot,settings_main,67,0.261926,True
screenshot_png,Screenshot,settings_main,68,0.259997,True
screenshot_png,Screenshot,settings_main,69,0.212823,True
screenshot_png,Screenshot,settings_main,70,0.215481,True
screenshot_png,Screenshot,settings_main,71,0.21828,True
screenshot_png,Screenshot,settings_main,72,0.211822,True
screenshot_png,Screenshot,settings_main,73,0.213059,True
screenshot_png,Screenshot,settings_main,74,0.212349,True
screenshot_png,Screenshot,settings_main,75,0.214469,True
screenshot_png,Screenshot,settings_main,76,0.214897,True
screenshot_png,Screenshot,settings_main,77,0.214741,True
screenshot_png,Screenshot,settings_main,78,0.259081,True
screenshot_png,Screenshot,settings_main,79,0.212655,True
screenshot_png,Screenshot,settings_main,80,0.23555,True
screenshot_png,Screenshot,settings_main,81,0.21253,True
screenshot_png,Screenshot,settings_main,82,0.216136,True
screenshot_png,Screenshot,settings_main,83,0.212265,True
screenshot_png,Screenshot,settings_main,84,0.216908,True
screenshot_png,Screenshot,settings_main,85,0.214576,True
screenshot_png,Screenshot,settings_main,86,0.214874,True
screenshot_png,Screenshot,settings_main,87,0.263766,True
screenshot_png,Screenshot,settings_main,88,0.260017,True
screenshot_png,Screenshot,settings_main,89,0.214941,True
screenshot_png,Screenshot,settings_main,90,0.215173,True
screenshot_png,Screenshot,settings_main,91,0.257469,True
screenshot_png,Screenshot,settings_main,92,0.216873,True
screenshot_png,Screenshot,settings_main,93,0.21374,True
screenshot_png,Screenshot,settings_main,94,0.21631,True
