condition,category,n,mean_s,std_s,median_s,ci95_s,min_s,max_s
a11y_dumpsys_accessibility,A11y Tree,300,0.0162,0.001,0.016,0.0001,0.014,0.0219
a11y_dumpsys_activity_top,A11y Tree,300,0.023,0.0016,0.0228,0.0002,0.0205,0.0371
a11y_uiautomator_dump,A11y Tree,300,1.9959,0.0679,1.9892,0.0077,1.9799,2.9078
a11y_uiautomator_stdout,A11y Tree,300,1.984,0.056,1.9796,0.0063,1.9728,2.9451
adb_getprop,Direct ADB,300,0.0126,0.0007,0.0125,0.0001,0.0113,0.0165
adb_input_tap,Direct ADB,300,0.0201,0.0007,0.0199,0.0001,0.0179,0.0253
adb_wm_size,Direct ADB,300,0.019,0.0009,0.0188,0.0001,0.0164,0.0228
grpc_deep_health,gRPC Forwarder,90,4.9514,0.5995,5.1429,0.1239,3.6014,6.2106
grpc_step_adb_obs,gRPC Forwarder,90,7.056,0.7013,7.2915,0.1449,5.7426,8.4346
pull_png_only,Screenshot (breakdown),300,0.0057,0.0003,0.0056,0.0,0.004,0.0067
pull_raw_only,Screenshot (breakdown),300,0.0462,0.009,0.044,0.001,0.0403,0.0976
screencap_png_only,Screenshot (breakdown),300,0.413,0.2866,0.2127,0.0324,0.2035,0.8762
screencap_raw_only,Screenshot (breakdown),300,0.1124,0.0029,0.1119,0.0003,0.1088,0.1387
screenshot_png,Screenshot,300,0.421,0.2885,0.2155,0.0327,0.2073,0.8718
screenshot_raw,Screenshot,300,0.2069,0.0136,0.2019,0.0015,0.1951,0.2686
