task_id,task_name,category,max_sim,mean_sim,median_sim,nearest_aw
21,Tier4AggregationOpenTracksWeeklyStats,A,0.6982,0.1595,0.1306,SportsTrackerLongestDistanceActivity
32,Tier4BulkDeleteCalendarTestEvents,B,0.6688,0.2140,0.1768,SimpleCalendarDeleteEventsOnRelativeDay
49,Tier4BulkDeleteSmallExpenses,B,0.6524,0.1825,0.1413,ExpenseDeleteDuplicates
16,Tier4AggregationExpenseSuspectedDuplicates,A,0.6456,0.1492,0.1078,ExpenseDeleteDuplicates2
34,Tier4DedupCalendarDeleteDuplicateEvents,B,0.6060,0.2329,0.1950,SimpleCalendarDeleteEventsOnRelativeDay
19,Tier4BulkChangePriorityTasks,B,0.5890,0.2209,0.2040,TasksHighPriorityTasks
50,Tier4FilterCalendarWeekendEvents,C,0.5745,0.1868,0.1467,SimpleCalendarEventsInNextWeek
17,Tier4TopKExpenseHighestAmount,A,0.5716,0.1517,0.1175,ExpenseAddMultiple
13,Tier4BulkRecategorizeExpense,B,0.5698,0.1982,0.1848,ExpenseAddMultiple
18,Tier4CrossAppExpenseToMarkorCalendar,D,0.5585,0.2402,0.2226,ExpenseAddMultipleFromMarkor
55,Tier4CrossAppJoplinToCalendar,D,0.5527,0.2084,0.1692,MarkorDeleteAllNotes
15,Tier4AggregationExpenseCategoryTop3,A,0.5520,0.1642,0.1239,ExpenseAddMultiple
7,Tier4TopKMarkorMostModifiedNotes,A,0.5367,0.2202,0.2027,MarkorDeleteNewestNote
5,Tier4BulkAppendFooterToMarkdown,B,0.5348,0.2265,0.2096,MarkorMergeNotes
23,Tier4FilterRetroMusicMultiCondition,C,0.5273,0.1282,0.1111,RetroPlaylistDuration
33,Tier4CrossAppCalendarToMarkor,D,0.5268,0.2310,0.1806,SimpleCalendarNextEvent
22,Tier4TopKOpenTracksFastestActivity,A,0.5225,0.1510,0.1333,SportsTrackerActivitiesOnDate
54,Tier4CrossAppOpenTracksToMarkor,D,0.5222,0.2304,0.1998,SportsTrackerActivitiesCountForWeek
24,Tier4TopKRetroMusicLongestSongs,A,0.5096,0.0931,0.0643,RetroPlaylistDuration
51,Tier4CrossAppContactsToMarkor,D,0.4864,0.2015,0.1800,MarkorDeleteAllNotes
53,Tier4CrossAppSmsKeywordToTasks,D,0.4758,0.1898,0.1829,TasksHighPriorityTasks
35,Tier4CoverageCalendarEventsHaveReminders,C,0.4753,0.1917,0.1501,SimpleCalendarEventsInNextWeek
26,Tier4CrossAppMarkorPhonesVsContacts,D,0.4591,0.1971,0.1815,MarkorDeleteAllNotes
4,Tier4BulkMoveLargeFiles,B,0.4512,0.1519,0.1294,FilesMoveFile
46,Tier4BulkDeleteApkFiles,B,0.4444,0.1787,0.1509,FilesDeleteFile
47,Tier4FilterExpenseAboveAverage,C,0.4402,0.1347,0.1031,ExpenseAddMultiple
52,Tier4CrossAppCalendarSmsConflicts,D,0.4092,0.1702,0.1370,SimpleCalendarEventsInTimeRange
10,Tier4FilterContactsNoFamilyName,C,0.4016,0.1049,0.0916,ContactsNewContactDraft
25,Tier4CrossAppBroccoliToMarkorIndex,D,0.4005,0.1383,0.1176,SimpleSmsReplyMostRecent
3,Tier4BulkRenameScreenshots,B,0.4001,0.1540,0.1351,FilesMoveFile
28,Tier4TopKLargestDownloadFiles,A,0.3825,0.1430,0.1340,BrowserMultiply
0,Tier4BulkDeleteTmpInDownloads,B,0.3712,0.1327,0.1191,FilesDeleteFile
8,Tier4TopKSmsThreadsByCount,A,0.3594,0.1512,0.1262,TasksHighPriorityTasks
9,Tier4FilterContactsBirthdayNoPhone,C,0.3468,0.1393,0.1321,ContactsNewContactDraft
43,Tier4CoverageSmsAllFromKnownContacts,C,0.3467,0.1333,0.1196,SimpleSmsReply
42,Tier4FilterSmsContainingUrl,C,0.3406,0.1253,0.1142,SimpleSmsSendClipboardContent
37,Tier4HiddenStateRecentInstalls,E,0.3359,0.1603,0.1558,TasksHighPriorityTasks
38,Tier4HiddenStateUptime,E,0.3331,0.1016,0.0937,SportsTrackerTotalDurationForCategoryThisWeek
39,Tier4HiddenStateBackgroundLocationApps,E,0.3330,0.1372,0.1287,SportsTrackerActivitiesOnDate
20,Tier4FilterJoplinContainsNotContains,C,0.3010,0.1227,0.1044,MarkorMergeNotes
31,Tier4HiddenStateAppsCameraPermission,E,0.2997,0.0979,0.0920,OpenAppTaskEval
11,Tier4AggregationContactsDuplicatePhones,A,0.2924,0.1190,0.1106,ContactsNewContactDraft
45,Tier4FilterEmptyFilesInDownloads,C,0.2848,0.1350,0.1230,RetroSavePlaylist
29,Tier4HiddenStateLocationPermissions,E,0.2637,0.0990,0.0890,OpenAppTaskEval
36,Tier4HiddenStatePhoneTemperature,E,0.2019,0.0991,0.1046,TurnOnWifiAndOpenApp
