task_id,task_name,category,nearest_aw_1,sim_1,nearest_aw_2,sim_2,nearest_aw_3,sim_3
0,Tier4BulkDeleteTmpInDownloads,B,FilesDeleteFile,0.3712,MarkorDeleteAllNotes,0.3632,BrowserMaze,0.3132
3,Tier4BulkRenameScreenshots,B,FilesMoveFile,0.4001,FilesDeleteFile,0.3963,SimpleDrawProCreateDrawing,0.3564
4,Tier4BulkMoveLargeFiles,B,FilesMoveFile,0.4512,FilesDeleteFile,0.3793,MarkorCreateFolder,0.3624
5,Tier4BulkAppendFooterToMarkdown,B,MarkorMergeNotes,0.5348,MarkorAddNoteHeader,0.5240,MarkorCreateFolder,0.4836
7,Tier4TopKMarkorMostModifiedNotes,A,MarkorDeleteNewestNote,0.5367,MarkorDeleteAllNotes,0.4736,MarkorCreateFolder,0.4714
8,Tier4TopKSmsThreadsByCount,A,TasksHighPriorityTasks,0.3594,SimpleSmsSendReceivedAddress,0.3469,SimpleSmsReply,0.3238
9,Tier4FilterContactsBirthdayNoPhone,C,ContactsNewContactDraft,0.3468,TasksIncompleteTasksOnDate,0.3264,SimpleCalendarEventsInTimeRange,0.3009
10,Tier4FilterContactsNoFamilyName,C,ContactsNewContactDraft,0.4016,ContactsAddContact,0.3143,TasksHighPriorityTasks,0.2273
11,Tier4AggregationContactsDuplicatePhones,A,ContactsNewContactDraft,0.2924,ContactsAddContact,0.2706,MarkorCreateNoteAndSms,0.2384
13,Tier4BulkRecategorizeExpense,B,ExpenseAddMultiple,0.5698,ExpenseDeleteMultiple,0.5517,ExpenseDeleteMultiple2,0.5517
15,Tier4AggregationExpenseCategoryTop3,A,ExpenseAddMultiple,0.5520,ExpenseAddSingle,0.5195,ExpenseDeleteMultiple,0.4568
16,Tier4AggregationExpenseSuspectedDuplicates,A,ExpenseDeleteDuplicates2,0.6456,ExpenseDeleteDuplicates,0.6456,ExpenseAddSingle,0.4519
17,Tier4TopKExpenseHighestAmount,A,ExpenseAddMultiple,0.5716,ExpenseAddSingle,0.5478,ExpenseDeleteMultiple2,0.5195
18,Tier4CrossAppExpenseToMarkorCalendar,D,ExpenseAddMultipleFromMarkor,0.5585,ExpenseAddMultipleFromGallery,0.5160,ExpenseAddMultiple,0.5012
19,Tier4BulkChangePriorityTasks,B,TasksHighPriorityTasks,0.5890,TasksHighPriorityTasksDueOnDate,0.5886,TasksDueOnDate,0.4732
20,Tier4FilterJoplinContainsNotContains,C,MarkorMergeNotes,0.3010,MarkorDeleteAllNotes,0.2912,MarkorDeleteNote,0.2754
21,Tier4AggregationOpenTracksWeeklyStats,A,SportsTrackerLongestDistanceActivity,0.6982,SportsTrackerTotalDistanceForCategoryOverInterval,0.6189,SportsTrackerTotalDurationForCategoryThisWeek,0.6084
22,Tier4TopKOpenTracksFastestActivity,A,SportsTrackerActivitiesOnDate,0.5225,SportsTrackerLongestDistanceActivity,0.4725,SportsTrackerActivityDuration,0.4657
23,Tier4FilterRetroMusicMultiCondition,C,RetroPlaylistDuration,0.5273,RetroSavePlaylist,0.4069,RetroPlayingQueue,0.4050
24,Tier4TopKRetroMusicLongestSongs,A,RetroPlaylistDuration,0.5096,RetroPlayingQueue,0.4390,RetroSavePlaylist,0.3938
25,Tier4CrossAppBroccoliToMarkorIndex,D,SimpleSmsReplyMostRecent,0.4005,SimpleSmsReply,0.3693,SimpleSmsResend,0.3628
26,Tier4CrossAppMarkorPhonesVsContacts,D,MarkorDeleteAllNotes,0.4591,MarkorCreateNoteAndSms,0.4163,ExpenseAddMultipleFromMarkor,0.3899
28,Tier4TopKLargestDownloadFiles,A,BrowserMultiply,0.3825,BrowserMaze,0.3507,BrowserDraw,0.3465
29,Tier4HiddenStateLocationPermissions,E,OpenAppTaskEval,0.2637,OsmAndMarker,0.2418,SportsTrackerActivitiesOnDate,0.2293
31,Tier4HiddenStateAppsCameraPermission,E,OpenAppTaskEval,0.2997,TasksHighPriorityTasks,0.2031,TasksIncompleteTasksOnDate,0.1748
32,Tier4BulkDeleteCalendarTestEvents,B,SimpleCalendarDeleteEventsOnRelativeDay,0.6688,SimpleCalendarDeleteEvents,0.6444,SimpleCalendarDeleteOneEvent,0.6122
33,Tier4CrossAppCalendarToMarkor,D,SimpleCalendarNextEvent,0.5268,SimpleCalendarAddOneEventRelativeDay,0.5263,SimpleCalendarEventsOnDate,0.5137
34,Tier4DedupCalendarDeleteDuplicateEvents,B,SimpleCalendarDeleteEventsOnRelativeDay,0.6060,SimpleCalendarDeleteEvents,0.5880,SimpleCalendarDeleteOneEvent,0.5794
35,Tier4CoverageCalendarEventsHaveReminders,C,SimpleCalendarEventsInNextWeek,0.4753,SimpleCalendarEventsInTimeRange,0.4733,SimpleCalendarAnyEventsOnDate,0.4544
36,Tier4HiddenStatePhoneTemperature,E,TurnOnWifiAndOpenApp,0.2019,FilesDeleteFile,0.1952,MarkorCreateNoteAndSms,0.1856
37,Tier4HiddenStateRecentInstalls,E,TasksHighPriorityTasks,0.3359,TasksCompletedTasksForDate,0.2804,SportsTrackerActivitiesOnDate,0.2729
38,Tier4HiddenStateUptime,E,SportsTrackerTotalDurationForCategoryThisWeek,0.3331,SportsTrackerActivityDuration,0.3238,ClockStopWatchRunning,0.3195
39,Tier4HiddenStateBackgroundLocationApps,E,SportsTrackerActivitiesOnDate,0.3330,SimpleCalendarLocationOfEvent,0.2915,OsmAndMarker,0.2901
42,Tier4FilterSmsContainingUrl,C,SimpleSmsSendClipboardContent,0.3406,SimpleSmsSendReceivedAddress,0.3367,MarkorCreateNoteAndSms,0.2929
43,Tier4CoverageSmsAllFromKnownContacts,C,SimpleSmsReply,0.3467,NotesTodoItemCount,0.3376,SimpleSmsSendReceivedAddress,0.3376
45,Tier4FilterEmptyFilesInDownloads,C,RetroSavePlaylist,0.2848,BrowserMaze,0.2802,FilesDeleteFile,0.2764
46,Tier4BulkDeleteApkFiles,B,FilesDeleteFile,0.4444,MarkorDeleteAllNotes,0.4300,RecipeDeleteMultipleRecipesWithConstraint,0.3508
47,Tier4FilterExpenseAboveAverage,C,ExpenseAddMultiple,0.4402,ExpenseDeleteMultiple2,0.4011,ExpenseDeleteMultiple,0.4011
49,Tier4BulkDeleteSmallExpenses,B,ExpenseDeleteDuplicates,0.6524,ExpenseDeleteDuplicates2,0.6524,ExpenseDeleteSingle,0.5593
50,Tier4FilterCalendarWeekendEvents,C,SimpleCalendarEventsInNextWeek,0.5745,SimpleCalendarEventsOnDate,0.5144,SimpleCalendarNextEvent,0.5135
51,Tier4CrossAppContactsToMarkor,D,MarkorDeleteAllNotes,0.4864,MarkorCreateNoteAndSms,0.4840,MarkorTranscribeReceipt,0.4350
52,Tier4CrossAppCalendarSmsConflicts,D,SimpleCalendarEventsInTimeRange,0.4092,SimpleSmsSendReceivedAddress,0.3895,SimpleCalendarEventsInNextWeek,0.3812
53,Tier4CrossAppSmsKeywordToTasks,D,TasksHighPriorityTasks,0.4758,TasksHighPriorityTasksDueOnDate,0.4179,TasksIncompleteTasksOnDate,0.4053
54,Tier4CrossAppOpenTracksToMarkor,D,SportsTrackerActivitiesCountForWeek,0.5222,SportsTrackerTotalDurationForCategoryThisWeek,0.4910,SportsTrackerLongestDistanceActivity,0.4894
55,Tier4CrossAppJoplinToCalendar,D,MarkorDeleteAllNotes,0.5527,MarkorMergeNotes,0.5087,MarkorMoveNote,0.4910
